index,Instituce_ID,Sociolog_ID,Instituce,Sociolog
235,72,23,Sociologická knižnice nakladatelství Svoboda,Filipec Jindřich
236,41,24,Masarykova univerzita v Brně,Fischer Josef Ludvík
237,45,24,Palackého univerzita v Olomouci,Fischer Josef Ludvík
238,64,24,Československá sociologická společnost při ČSAV,Fischer Josef Ludvík
239,65,24,Masarykova sociologická společnost,Fischer Josef Ludvík
240,71,24,Sociologická knihovna MSS,Fischer Josef Ludvík
241,42,25,Mendelova univerzita v Brně,Foret Miroslav
242,62,25,Česká demografická společnost,Foret Miroslav
243,72,25,Sociologická knižnice nakladatelství Svoboda,Foret Miroslav
244,39,27,Karlova univerzita v Praze,Foustka Břetislav
245,65,27,Masarykova sociologická společnost,Foustka Břetislav
246,71,27,Sociologická knihovna MSS,Foustka Břetislav
247,39,28,Karlova univerzita v Praze,Frič Pavol
248,39,30,Karlova univerzita v Praze,Gabal Ivan
249,18,32,Sportpropag,Gál Fedor
250,4,33,Vědecké kolegium filosofie a sociologie ČSAV,Galla Karel
251,23,33,Ústav pro sociální a hospodářskou výchovu ČSS,Galla Karel
252,28,33,Vojenský sociologický kruh,Galla Karel
253,39,33,Karlova univerzita v Praze,Galla Karel
254,61,35,Česká asociace pro sociální antropologii,Gellner Ernest (Arnošt)
255,41,37,Masarykova univerzita v Brně,Hájek Mojmír
256,65,37,Masarykova sociologická společnost,Hájek Mojmír
257,39,38,Karlova univerzita v Praze,Hampl Martin
258,39,40,Karlova univerzita v Praze,Havelka Miloš
259,40,41,Komenského univerzita v Bratislavě,Hirner Alexander
260,56,41,Vysoká škola politická a sociální v Praze,Hirner Alexander
261,37,42,Husova československá evangelická teologická fakulta v Praze,Hník František Maria
262,15,45,Sociologický ústav AV ČR,Huláková Marie
263,64,45,Československá sociologická společnost při ČSAV,Huláková Marie
264,17,46,Sociologický ústav ČSS,Chalupný Emanuel
265,36,46,České vysoké učení technické v Praze,Chalupný Emanuel
266,41,46,Masarykova univerzita v Brně,Chalupný Emanuel
267,47,46,Svobodná škola politických nauk v Praze,Chalupný Emanuel
268,48,46,Ukrajinská svobodná univerzita v Praze,Chalupný Emanuel
269,52,46,Vojenská politická akademie Klementa Gottwalda v Praze,Chalupný Emanuel
270,71,46,Sociologická knihovna MSS,Chalupný Emanuel
271,4,47,Vědecké kolegium filosofie a sociologie ČSAV,Charvát František
272,15,47,Sociologický ústav AV ČR,Charvát František
273,64,47,Československá sociologická společnost při ČSAV,Charvát František
274,72,47,Sociologická knižnice nakladatelství Svoboda,Charvát František
275,15,48,Sociologický ústav AV ČR,Illner Michal
276,62,48,Česká demografická společnost,Illner Michal
277,72,48,Sociologická knižnice nakladatelství Svoboda,Illner Michal
278,39,49,Karlova univerzita v Praze,Jeřábek Hynek
279,53,49,Vysoká škola CEVRO Institut v Praze,Jeřábek Hynek
280,60,49,Západočeská univerzita v Plzni,Jeřábek Hynek
281,45,51,Palackého univerzita v Olomouci,Jochmann Vladimír
282,39,53,Karlova univerzita v Praze,Kabele Jiří
283,17,54,Sociologický ústav ČSS,Kadlec Vladimír
284,65,54,Masarykova sociologická společnost,Kadlec Vladimír
285,57,55,Vysoká škola politická ÚV KSČ v Praze,Kadlecová Erika
286,64,55,Československá sociologická společnost při ČSAV,Kadlecová Erika
287,73,56,Sociologické nakladatelství (SLON),Kaizl Josef
288,26,57,Ústav sociálně politických věd UK,Kaláb Miloš
289,39,60,Karlova univerzita v Praze,Kapr Jaroslav
290,46,60,Slezská univerzita v Opavě,Kapr Jaroslav
291,41,62,Masarykova univerzita v Brně,Keller Jan
292,44,62,Ostravská univerzita v Ostravě,Keller Jan
293,73,62,Sociologické nakladatelství (SLON),Keller Jan
294,57,65,Vysoká škola politická ÚV KSČ v Praze,Klofáč Jaroslav
295,68,65,Společnost pro sociální bádání,Klofáč Jaroslav
296,72,65,Sociologická knižnice nakladatelství Svoboda,Klofáč Jaroslav
297,4,67,Vědecké kolegium filosofie a sociologie ČSAV,Kohout Jaroslav
298,54,67,Vysoká škola ekonomická v Praze,Kohout Jaroslav
299,56,67,Vysoká škola politická a sociální v Praze,Kohout Jaroslav
300,72,67,Sociologická knižnice nakladatelství Svoboda,Kohout Jaroslav
301,73,67,Sociologické nakladatelství (SLON),Kohout Jaroslav
302,39,69,Karlova univerzita v Praze,Korčák Jaromír
303,68,69,Společnost pro sociální bádání,Korčák Jaromír
304,41,71,Masarykova univerzita v Brně,Köttner Mojmír
305,5,72,Československá akademie zemědělská,Král Josef
306,28,72,Vojenský sociologický kruh,Král Josef
307,39,72,Karlova univerzita v Praze,Král Josef
308,40,72,Komenského univerzita v Bratislavě,Král Josef
309,56,72,Vysoká škola politická a sociální v Praze,Král Josef
310,67,72,Sociologický kruh posluchačů vysokých škol pražských,Král Josef
311,70,72,Knihovna Sociálních problémů,Král Josef
312,65,75,Masarykova sociologická společnost,Krejčí Karel
313,16,78,Sociologický ústav ČSAV,Lamser Václav
314,39,78,Karlova univerzita v Praze,Lamser Václav
315,62,78,Česká demografická společnost,Lamser Václav
316,72,78,Sociologická knižnice nakladatelství Svoboda,Lamser Václav
317,41,79,Masarykova univerzita v Brně,Librová Hana
318,15,81,Sociologický ústav AV ČR,Linhart Jiří
319,26,81,Ústav sociálně politických věd UK,Linhart Jiří
320,64,81,Československá sociologická společnost při ČSAV,Linhart Jiří
321,65,82,Masarykova sociologická společnost,Macek Josef
322,41,83,Masarykova univerzita v Brně,Macků Jan
323,64,83,Československá sociologická společnost při ČSAV,Macků Jan
324,15,84,Sociologický ústav AV ČR,Machonin Pavel
325,16,84,Sociologický ústav ČSAV,Machonin Pavel
326,52,84,Vojenská politická akademie Klementa Gottwalda v Praze,Machonin Pavel
327,56,84,Vysoká škola politická a sociální v Praze,Machonin Pavel
328,39,85,Karlova univerzita v Praze,Machotka Otakar
329,40,85,Komenského univerzita v Bratislavě,Machotka Otakar
330,56,85,Vysoká škola politická a sociální v Praze,Machotka Otakar
331,70,85,Knihovna Sociálních problémů,Machotka Otakar
332,71,85,Sociologická knihovna MSS,Machotka Otakar
333,45,86,Palackého univerzita v Olomouci,Maiwald Karel
334,41,89,Masarykova univerzita v Brně,Mareš Petr
335,39,90,Karlova univerzita v Praze,Marušiak Martin
336,64,90,Československá sociologická společnost při ČSAV,Marušiak Martin
337,39,91,Karlova univerzita v Praze,Masaryk Tomáš Garrigue
338,65,91,Masarykova sociologická společnost,Masaryk Tomáš Garrigue
339,15,93,Sociologický ústav AV ČR,Matějů Petr
340,39,93,Karlova univerzita v Praze,Matějů Petr
341,53,93,Vysoká škola CEVRO Institut v Praze,Matějů Petr
342,55,93,Vysoká škola finanční a správní v Praze,Matějů Petr
343,28,94,Vojenský sociologický kruh,Mertl Jan
344,36,94,České vysoké učení technické v Praze,Mertl Jan
345,70,94,Knihovna Sociálních problémů,Mertl Jan
346,71,94,Sociologická knihovna MSS,Mertl Jan
347,65,96,Masarykova sociologická společnost,Modráček František
348,41,97,Masarykova univerzita v Brně,Možný Ivo
349,73,97,Sociologické nakladatelství (SLON),Možný Ivo
350,15,98,Sociologický ústav AV ČR,Musil Jiří
351,36,98,České vysoké učení technické v Praze,Musil Jiří
352,64,98,Československá sociologická společnost při ČSAV,Musil Jiří
353,72,98,Sociologická knižnice nakladatelství Svoboda,Musil Jiří
354,41,102,Masarykova univerzita v Brně,Nový Lubomír
355,40,103,Komenského univerzita v Bratislavě,Obrdlík Antonín
356,41,103,Masarykova univerzita v Brně,Obrdlík Antonín
357,65,103,Masarykova sociologická společnost,Obrdlík Antonín
358,71,103,Sociologická knihovna MSS,Obrdlík Antonín
359,41,104,Masarykova univerzita v Brně,Obrdlíková Juliana
360,45,104,Palackého univerzita v Olomouci,Obrdlíková Juliana
361,58,104,Vysoká škola sociální v Brně,Obrdlíková Juliana
362,71,104,Sociologická knihovna MSS,Obrdlíková Juliana
363,41,105,Masarykova univerzita v Brně,Ovesný Miroslav
364,39,106,Karlova univerzita v Praze,Pavlík Zdeněk
365,53,106,Vysoká škola CEVRO Institut v Praze,Pavlík Zdeněk
366,15,108,Sociologický ústav AV ČR,Petrusek Miloslav
367,26,108,Ústav sociálně politických věd UK,Petrusek Miloslav
368,39,108,Karlova univerzita v Praze,Petrusek Miloslav
369,64,108,Československá sociologická společnost při ČSAV,Petrusek Miloslav
370,72,108,Sociologická knižnice nakladatelství Svoboda,Petrusek Miloslav
371,73,108,Sociologické nakladatelství (SLON),Petrusek Miloslav
372,26,110,Ústav sociálně politických věd UK,Porket Josef Ludvík
373,39,111,Karlova univerzita v Praze,Potůček Martin
374,41,111,Masarykova univerzita v Brně,Potůček Martin
375,41,114,Masarykova univerzita v Brně,Rabušic Ladislav
376,42,117,Mendelova univerzita v Brně,Reich Edvard
377,15,121,Sociologický ústav AV ČR,Rychtaříková Jitka
378,39,121,Karlova univerzita v Praze,Rychtaříková Jitka
379,16,123,Sociologický ústav ČSAV,Řehák Jan
380,39,123,Karlova univerzita v Praze,Řehák Jan
381,64,123,Československá sociologická společnost při ČSAV,Řehák Jan
382,39,125,Karlova univerzita v Praze,Sedláček Oto
383,64,125,Československá sociologická společnost při ČSAV,Sedláček Oto
384,72,125,Sociologická knižnice nakladatelství Svoboda,Sedláček Oto
385,72,126,Sociologická knižnice nakladatelství Svoboda,Sekot Aleš
386,41,128,Masarykova univerzita v Brně,Sirovátka Tomáš
387,31,130,Výzkumný ústav strojírenské technologie a ekonomiky,Slejška Dragoslav
388,64,130,Československá sociologická společnost při ČSAV,Slejška Dragoslav
389,26,132,Ústav sociálně politických věd UK,Solař Josef
390,41,132,Masarykova univerzita v Brně,Solař Josef
391,67,134,Sociologický kruh posluchačů vysokých škol pražských,Sorokin Pitirim Alexandrovič
392,72,135,Sociologická knižnice nakladatelství Svoboda,Srb Vladimír
393,43,136,Německá univerzita v Praze,Stark Werner
394,26,137,Ústav sociálně politických věd UK,Strmiska Zdeněk
395,64,137,Československá sociologická společnost při ČSAV,Strmiska Zdeněk
396,71,137,Sociologická knihovna MSS,Strmiska Zdeněk
397,41,138,Masarykova univerzita v Brně,Střítecký Jaroslav
398,46,139,Slezská univerzita v Opavě,Suda Zdeněk
399,64,139,Československá sociologická společnost při ČSAV,Suda Zdeněk
400,23,141,Ústav pro sociální a hospodářskou výchovu ČSS,Svoboda Ludvík
401,39,141,Karlova univerzita v Praze,Svoboda Ludvík
402,65,141,Masarykova sociologická společnost,Svoboda Ludvík
403,48,142,Ukrajinská svobodná univerzita v Praze,Šapoval Mykyta
404,26,143,Ústav sociálně politických věd UK,Šiklová Jiřina
405,39,143,Karlova univerzita v Praze,Šiklová Jiřina
406,47,144,Svobodná škola politických nauk v Praze,Šíma Jaroslav
407,71,145,Sociologická knihovna MSS,Škrach Vasil Kaprálek
408,71,146,Sociologická knihovna MSS,Šmejkal Karel
409,5,150,Československá akademie zemědělská,Štefánek Anton
410,40,150,Komenského univerzita v Bratislavě,Štefánek Anton
411,65,150,Masarykova sociologická společnost,Štefánek Anton
412,5,152,Československá akademie zemědělská,Tauber Jan Bohumil
413,35,152,Česká zemědělská univerzita v Praze,Tauber Jan Bohumil
414,36,152,České vysoké učení technické v Praze,Tauber Jan Bohumil
415,64,152,Československá sociologická společnost při ČSAV,Tauber Jan Bohumil
416,26,155,Ústav sociálně politických věd UK,Tlustý Vojtěch
417,39,155,Karlova univerzita v Praze,Tlustý Vojtěch
418,64,155,Československá sociologická společnost při ČSAV,Tlustý Vojtěch
419,39,156,Karlova univerzita v Praze,Tomeš Igor
420,62,156,Česká demografická společnost,Tomeš Igor
421,66,156,Socioklub,Tomeš Igor
422,41,157,Masarykova univerzita v Brně,Trapl Miloslav
423,45,157,Palackého univerzita v Olomouci,Trapl Miloslav
424,36,159,České vysoké učení technické v Praze,Uhlíř Antonín
425,65,159,Masarykova sociologická společnost,Uhlíř Antonín
426,14,160,Slezský ústav v Praze,Ullrich Zdeněk
427,28,160,Vojenský sociologický kruh,Ullrich Zdeněk
428,39,160,Karlova univerzita v Praze,Ullrich Zdeněk
429,56,160,Vysoká škola politická a sociální v Praze,Ullrich Zdeněk
430,68,160,Společnost pro sociální bádání,Ullrich Zdeněk
431,70,160,Knihovna Sociálních problémů,Ullrich Zdeněk
432,71,160,Sociologická knihovna MSS,Ullrich Zdeněk
433,39,161,Karlova univerzita v Praze,Urbánek Eduard
434,56,162,Vysoká škola politická a sociální v Praze,Vacek Lubomír
435,64,162,Československá sociologická společnost při ČSAV,Vacek Lubomír
436,72,162,Sociologická knižnice nakladatelství Svoboda,Vacek Lubomír
437,39,164,Karlova univerzita v Praze,Vaněk Antonín
438,69,165,Spolek pro založení a vydržování soukromého institutu věd sociologických a filosofických,Vašek Bedřich
439,15,166,Sociologický ústav AV ČR,Večerník Jiří
440,72,166,Sociologická knižnice nakladatelství Svoboda,Večerník Jiří
441,23,167,Ústav pro sociální a hospodářskou výchovu ČSS,Verunáč Václav
442,36,167,České vysoké učení technické v Praze,Verunáč Václav
443,47,167,Svobodná škola politických nauk v Praze,Verunáč Václav
444,61,168,Česká asociace pro sociální antropologii,Voráček Josef
445,68,168,Společnost pro sociální bádání,Voráček Josef
446,70,168,Knihovna Sociálních problémů,Voráček Josef
447,43,170,Německá univerzita v Praze,Weber Alfred
448,43,174,Německá univerzita v Praze,Ziegler Heinz Otto
449,70,174,Knihovna Sociálních problémů,Ziegler Heinz Otto
450,15,175,Sociologický ústav AV ČR,Zich František
451,50,175,Univerzita J. E. Purkyně v Ústí nad Labem,Zich František
452,55,175,Vysoká škola finanční a správní v Praze,Zich František
453,57,175,Vysoká škola politická ÚV KSČ v Praze,Zich František
454,72,175,Sociologická knižnice nakladatelství Svoboda,Zich František
455,41,176,Masarykova univerzita v Brně,Zwicker Bruno
456,65,176,Masarykova sociologická společnost,Zwicker Bruno
457,65,177,Masarykova sociologická společnost,Žalud Augustin
458,36,178,České vysoké učení technické v Praze,Žmavc Ivan
