index,name,born,died
1,Adamec Čeněk,1916-11-19,1997-10-12
2,Alan Josef,1938-03-18,2030
3,Árnason Johann Pál,1940-06-01,2030
4,Auerhan Jan,1880-09-02,1942-06-09
5,Beneš Edvard,1884-05-28,1948-09-03
6,Bláha Inocenc Arnošt,1879-07-28,1960-04-25
7,Blažek Bohuslav,1942-10-18,2004-11-20
8,Boháč Antonín,1882-03-05,1950-12-27
9,Bolzano Bernard,1781-10-05,1848-01-18
10,Brokl Lubomír,1937-10-27,2030
11,Butter Oskar,1886-01-23,1943-01-17
12,Čapek Emil,1880-12-24,1960-06-09
13,Čapek Karel,1890-01-09,1938-12-25
14,Čecháček Jaroslav,1901-08-03,1945-07-20
15,Čep Tomáš,1886-09-03,1959-10-17
16,Dědek František,1914-09-09,0000
17,Disman Miroslav,1925-07-20,1996-09-22
18,Dubská Irena,1924-11-17,2010-07-24
19,Durdík Josef,1837-10-15,1902-06-30
20,Dušek Jan,1897-10-10,1934-02-11
21,Fajfr František,1892-08-18,1969-02-12
22,Filipcová Blanka,1928-03-31,2030
23,Filipec Jindřich,1926-12-18,2013
24,Fischer Josef Ludvík,1894-11-06,1973-02-17
25,Foret Miroslav,1946-12-20,2030
26,Fořt Josef,1850-12-25,1929-05-11
27,Foustka Břetislav,1862-02-05,1947-02-22
28,Frič Pavol,1956-04-11,2030
29,Fuchs Alfred,1892-06-23,1941-02-16
30,Gabal Ivan,1951-01-15,2030
31,Gaďourek Ivan,1923-07-11,2013-04-19
32,Gál Fedor,1945-03-30,2030
33,Galla Karel,1901-08-19,1987-10-09
34,Geist Bohumil,1927-09-14,2006-08-30
35,Gellner Ernest (Arnošt),1925-12-09,1995-11-05
36,Hájek František,1920-06-12,2030
37,Hájek Mojmír,1913-10-27,1993-03-26
38,Hampl Martin,1940-08-02,2030
39,Hanáček Jaroslav,1903-08-10,1968-03-18
40,Havelka Miloš,1944-07-29,2030
41,Hirner Alexander,1911-12-13,1987-11-17
42,Hník František Maria,1905-02-09,1962-04-28
43,Hrdina Josef,1877-02-26,1947-03-23
44,Hudec Josef,1873-05-24,1957-12-27
45,Huláková Marie,1923-12-24,2030
46,Chalupný Emanuel,1879-12-14,1958-05-27
47,Charvát František,1940-11-03,2007-05-07
48,Illner Michal,1934-05-19,2030
49,Jeřábek Hynek,1949-12-31,2030
50,Jodl Miroslav,1924-09-02,2007-06-02
51,Jochmann Vladimír,1923-09-13,2008-09-12
52,Jungmann Bohumil,1940-10-31,1993-11-18
53,Kabele Jiří,1946-04-03,2030
54,Kadlec Vladimír,1905-03-13,1969-02-16
55,Kadlecová Erika,1924-06-20,2014-12-15
56,Kaizl Josef,1854-06-10,1901-08-19
57,Kaláb Miloš,1920-12-14,1994-01-02
58,Kalandra Záviš,1902-11-10,1950-06-27
59,Kalinová Lenka,1924-06-11,2014-06-27
60,Kapr Jaroslav,1933-12-05,2003-03-06
61,Kárníková Ludmila,1932-11-29,1963-08-09
62,Keller Jan,1955-01-23,2030
63,Kettner Josef,1891-08-31,1943
64,Klácel František Matouš,1808-04-07,1882-03-17
65,Klofáč Jaroslav,1921-09-16,1981-08-15
66,Kohn Jindřich,1874-03-07,1935-03-12
67,Kohout Jaroslav,1927-05-19,2030
68,Kolaja Jiří Tomáš,1919-10-21,2003-02-10
69,Korčák Jaromír,1895-07-12,1989-10-06
70,Kozák Jan Blahoslav,1888-08-04,1974-01-09
71,Köttner Mojmír,1925-09-02,1981-06-28
72,Král Josef,1882-10-31,1978-02-22
73,Krejčí František,1858-08-21,1934-05-24
74,Krejčí Jaroslav,1916-02-13,2014-02-16
75,Krejčí Karel,1904-08-20,1979-06-26
76,Kučera Milan,1929-07-02,2018-02-01
77,Kunte Ladislav,1874-04-22,1945-04-19
78,Lamser Václav,1924-06-24,1986-01-26
79,Librová Hana,1943-11-26,2030
80,Lindner Gustav Adolf,1828-03-11,1887-10-16
81,Linhart Jiří,1942-10-11,1990-05-22
82,Macek Josef,1887-09-13,1972-02-19
83,Macků Jan,1919-05-24,1983-09-28
84,Machonin Pavel,1927-06-06,2008-07-04
85,Machotka Otakar,1899-10-29,1970-07-29
86,Maiwald Karel,1902-10-03,1979-08-18
87,Makovička Emanuel,1851-11-07,1890-06-04
88,Malý Rudolf Ina,1889-04-17,1965-04-13
89,Mareš Petr,1947-09-19,2030
90,Marušiak Martin,1931-01-30,0000
91,Masaryk Tomáš Garrigue,1850-03-07,1937-09-14
92,Masaryková Alice,1879-05-03,1966-11-29
93,Matějů Petr,1950-07-22,2017-06-16
94,Mertl Jan,1904-12-11,1978-10-10
95,Mlčoch Lubomír,1944-05-13,2030
96,Modráček František,1871-09-08,1960-03-23
97,Možný Ivo,1932-08-31,2016-09-10
98,Musil Jiří,1928-02-20,2012-09-16
99,Nehněvajsa Jiří,1925-08-09,1996-07-31
100,Nejedlý Zdeněk,1878-02-10,1962-03-09
101,Neuschl Robert,1856-01-20,1914-08-05
102,Nový Lubomír,1930-04-15,1996-11-15
103,Obrdlík Antonín,1905-04-25,1997-08-15
104,Obrdlíková Juliana,1909-05-05,1983-09-15
105,Ovesný Miroslav,1917-08-20,2002-08-09
106,Pavlík Zdeněk,1931-03-31,2030
107,Peroutka Ferdinand,1895-02-06,1978-04-20
108,Petrusek Miloslav,1936-10-15,2012-08-19
109,Pistorius Theodor,1894-03-24,1969-07-09
110,Porket Josef Ludvík,1926-09-11,2007-04-29
111,Potůček Martin,1948-09-02,2030
112,Potužil František,1909-03-17,1996-09-15
113,Procházka Matěj,1811-02-04,1889-11-26
114,Rabušic Ladislav,1954-03-08,2030
115,Rádl Emanuel,1873-12-21,1942-05-12
116,Reif Gustav,1884-09-19,1954-12-23
117,Reich Edvard,1885-03-17,1943-05-24
118,Reyl František,1865-02-25,1935-12-16
119,Richta Radovan,1924-06-06,1983-07-21
120,Rouček Joseph Slabey,1902-09-30,1984
121,Rychtaříková Jitka,1949-05-22,2030
122,Rýznar Václav,1901-09-28,1980-05-02
123,Řehák Jan,1939-09-19,2030
124,Sedláček Jan,1935-03-09,2008-08-20
125,Sedláček Oto,1931-08-15,2030
126,Sekot Aleš,1947-03-27,2030
127,Schoenbaum Emil,1882-06-10,1967-11-16
128,Sirovátka Tomáš,1950-09-25,2030
129,Slaminka Vladimír,1902-03-09,0000
130,Slejška Dragoslav,1923-01-29,1996-01-06
131,Smetana Augustin,1814-06-15,1851-01-30
132,Solař Josef,1919-11-26,2002-02-25
133,Soldát Alois,1862-07-12,1952-12-23
134,Sorokin Pitirim Alexandrovič,1889-02-04,1968-02-11
135,Srb Vladimír,1917-09-15,2006-03-26
136,Stark Werner,1909-12-02,1985-10-04
137,Strmiska Zdeněk,1925-10-02,2009-01-15
138,Střítecký Jaroslav,1941-10-04,2030
139,Suda Zdeněk,1920-10-07,2015-10-21
140,Sviták Ivan,1925-10-10,1994-10-20
141,Svoboda Ludvík,1903-05-04,1977-08-03
142,Šapoval Mykyta,1882-06-08,1932-02-25
143,Šiklová Jiřina,1935-06-17,2030
144,Šíma Jaroslav,1914-01-31,1955-11-18
145,Škrach Vasil Kaprálek,1891-06-14,1943-05-28
146,Šmejkal Karel,1903-11-18,1933-07-19
147,Šnobl Jaroslav,1904-09-07,1975-07-22
148,Šrámek Jan,1870-08-11,1956-04-22
149,Šrubař Ilja,1946-08-06,2030
150,Štefánek Anton,1877-04-05,1964-04-29
151,Štern Evžen,1889-05-07,1942-11-12
152,Tauber Jan Bohumil,1906-07-07,1976-08-15
153,Teige Karel,1900-12-13,1951-10-01
154,Teltšík Rudolf,1886-02-10,1942-11-07
155,Tlustý Vojtěch,1921-01-05,1989-08-22
156,Tomeš Igor,1931-04-17,2018-03-23
157,Trapl Miloslav,1899-04-30,1979-06-01
158,Tyrš Miroslav,1832-09-17,1884-08-08
159,Uhlíř Antonín,1882-06-18,1957-11-23
160,Ullrich Zdeněk,1901-03-21,1955-06-17
161,Urbánek Eduard,1931-08-16,1998-09-10
162,Vacek Lubomír,1930-05-01,2030
163,Václavek Bedřich,1897-01-10,1943-03-05
164,Vaněk Antonín,1932-05-17,1996
165,Vašek Bedřich,1882-02-10,1959-08-14
166,Večerník Jiří,1941-03-22,2030
167,Verunáč Václav,1893-09-17,1960-05-15
168,Voráček Josef,1910-01-27,1980-05-22
169,Vybral Vladimír,1902-12-09,1980-05-27
170,Weber Alfred,1868-07-30,1958-05-02
171,Weyr František,1879-04-25,1951-06-29
172,Von Wieser Friedrich,1851-07-10,1926-07-22
173,Winter Lev,1876-01-26,1935-08-29
174,Ziegler Heinz Otto,1903-03-11,1944-05-04
175,Zich František,1935-08-14,2030
176,Zwicker Bruno,1907-02-17,1944-09-29
177,Žalud Augustin,1872-12-21,1928-09-25
178,Žmavc Ivan,1871-01-11,1956-11-22
